2020-07-16 10:42:03.047300,3.7.7,2.0.0,1.18.5,0.223901,0.935,8.777
2020-07-16 11:19:04.965672,3.7.7,2.0.0,1.18.5,0.208858,0.939,8.469
2020-07-16 12:23:37.915359,3.7.7,2.0.0,1.18.5,0.226288,0.933,8.658
2020-07-16 13:20:19.639011,3.7.7,2.0.0,1.18.5,0.224147,0.933,9.152
2020-07-16 13:22:38.352858,3.7.7,2.0.0,1.18.5,0.215725,0.936,8.127
2020-07-16 13:23:55.712838,3.7.7,2.0.0,1.18.5,0.219488,0.935,8.655
2020-07-16 13:24:25.044678,3.7.7,2.0.0,1.18.5,0.225213,0.932,8.304
2020-07-16 13:26:28.715122,3.7.7,2.0.0,1.18.5,0.221631,0.936,7.877
2020-07-16 13:44:01.575309,3.7.7,2.0.0,1.18.5,0.241760,0.932,8.209
2020-07-16 13:49:13.322477,3.7.7,2.0.0,1.18.5,0.214664,0.936,5.140
2020-07-16 14:49:49.147976,3.7.7,2.0.0,1.18.5,0.264506,0.927,9.239
2020-07-17 18:13:33.772929,3.7.7,2.2.0,1.18.5,0.227364,0.933,19.536
2020-07-17 18:32:05.761538,3.7.7,2.2.0,1.18.5,0.222893,0.933,18.253
2020-07-17 18:41:47.880138,3.7.7,2.2.0,1.18.5,0.221082,0.935,30.319
